malleable_count,strategic_count,balanced_count,confident_count,static_count,winner_type,final_price,round_count,winner_valuation,efficiency
0,1,0,2,17,static/inflex,1240,37,1322.184732082334,240
0,1,0,3,16,static/inflex,1220,36,1278.5127420008112,220
0,1,0,4,15,confident,1160,33,1178.4147097967943,160
0,1,0,5,14,static/inflex,1140,32,1141.847355939038,140
0,1,0,6,13,static/inflex,1180,34,1214.4247474136107,180
0,1,0,7,12,static/inflex,1140,32,1233.5055709704302,140
0,1,0,8,11,static/inflex,1200,35,1365.0273904571145,200
0,1,0,9,10,static/inflex,1300,40,1294.2821231232156,300
0,1,0,10,9,static/inflex,1260,38,1292.3133140925258,260
0,1,0,11,8,static/inflex,1120,31,1260.80939039406,120
0,1,0,12,7,static/inflex,1200,35,1249.7984591360284,200
0,1,0,13,6,static/inflex,1200,35,1236.0883888221424,200
0,1,0,14,5,static/inflex,1140,32,1248.1893324993196,140
0,1,0,15,4,confident,1200,35,1263.167344814208,200
0,1,0,16,3,static/inflex,1240,37,1297.74081563529,240
0,1,0,17,2,static/inflex,1180,34,1400.0209403653403,180
0,1,0,18,1,confident,1040,27,1049.952488680943,40
0,1,0,19,0,confident,1160,33,1202.841775230162,160
0,1,1,0,18,static/inflex,1160,33,1176.3163025044846,160
0,1,1,1,17,static/inflex,1240,37,1341.1356937345731,240
0,1,1,2,16,static/inflex,1100,30,1115.4765825565357,100
0,1,1,3,15,static/inflex,1220,36,1216.0530095549445,220
0,1,1,4,14,static/inflex,1340,42,1327.4635967549414,340
0,1,1,5,13,static/inflex,1260,38,1299.9155059342938,260
0,1,1,6,12,static/inflex,1160,33,1207.1031754952976,160
0,1,1,7,11,static/inflex,1100,30,1249.023586804981,100
0,1,1,8,10,confident,1200,35,1274.1001188326109,200
0,1,1,9,9,static/inflex,1240,37,1250.2679956434795,240
0,1,1,10,8,static/inflex,1200,35,1272.1487433975954,200
0,1,1,11,7,static/inflex,1200,35,1222.9404739595982,200
0,1,1,12,6,static/inflex,1140,32,1234.172675801454,140
0,1,1,13,5,confident,1160,33,1209.7150723436196,160
0,1,1,14,4,confident,1120,31,1179.6495364716245,120
0,1,1,15,3,confident,1220,36,1211.2559949332529,220
0,1,1,16,2,static/inflex,1180,34,1208.309193618385,180
0,1,1,17,1,static/inflex,1160,33,1174.2992754290758,160
0,1,1,18,0,confident,1180,34,1192.3231410872845,180
0,1,2,0,17,static/inflex,1100,30,1118.0378923645715,100
0,1,2,1,16,static/inflex,1180,34,1176.5300119266776,180
0,1,2,2,15,static/inflex,1240,37,1328.5858357833997,240
0,1,2,3,14,static/inflex,1140,32,1345.532104934434,140
0,1,2,4,13,static/inflex,1120,31,1138.957382961576,120
0,1,2,5,12,static/inflex,1240,37,1262.7228071317015,240
0,1,2,6,11,confident,1200,35,1347.3840652741615,200
0,1,2,7,10,static/inflex,1120,31,1225.5817029507252,120
0,1,2,8,9,static/inflex,1100,30,1187.0585579026092,100
0,1,2,9,8,static/inflex,1200,35,1324.8149987698646,200
0,1,2,10,7,static/inflex,1140,32,1332.1516718563335,140
0,1,2,11,6,static/inflex,1200,35,1286.8057954609087,200
0,1,2,12,5,static/inflex,1220,36,1243.8487849066998,220
0,1,2,13,4,confident,1240,37,1243.8791066853917,240
0,1,2,14,3,static/inflex,1220,36,1417.976325082684,220
0,1,2,15,2,confident,1140,32,1185.7184508656155,140
0,1,2,16,1,confident,1240,37,1315.3118045531526,240
0,1,2,17,0,confident,1140,32,1161.212129999175,140
0,1,3,0,16,static/inflex,1260,38,1270.638453813907,260
0,1,3,1,15,balanced,1140,32,1154.0321884497066,140
0,1,3,2,14,balanced,1080,29,1124.5494915215068,80
0,1,3,3,13,static/inflex,1140,32,1522.2979523316294,140
0,1,3,4,12,static/inflex,1160,33,1264.7854850842632,160
0,1,3,5,11,static/inflex,1180,34,1199.3556063465774,180
0,1,3,6,10,static/inflex,1160,33,1343.0107293341587,160
0,1,3,7,9,static/inflex,1240,37,1231.1371339305583,240
0,1,3,8,8,static/inflex,1100,30,1408.1570169268048,100
0,1,3,9,7,confident,1120,31,1139.8478809537844,120
0,1,3,10,6,static/inflex,1160,33,1175.775340101984,160
0,1,3,11,5,static/inflex,1220,36,1337.9345753480543,220
0,1,3,12,4,static/inflex,1100,30,1122.7043025630821,100
0,1,3,13,3,confident,1220,36,1213.5898978924506,220
0,1,3,14,2,balanced,1120,31,1107.7081214912675,120
0,1,3,15,1,confident,1160,33,1228.6596818158393,160
0,1,3,16,0,confident,1140,32,1154.0241442098572,140
0,1,4,0,15,static/inflex,1240,37,1245.1120546658115,240
0,1,4,1,14,static/inflex,1180,34,1354.265159277345,180
0,1,4,2,13,static/inflex,1160,33,1173.8818280442936,160
0,1,4,3,12,static/inflex,1280,39,1339.3916811172373,280
0,1,4,4,11,static/inflex,1100,30,1114.3474480217087,100
0,1,4,5,10,static/inflex,1120,31,1127.5809912538166,120
0,1,4,6,9,static/inflex,1140,32,1468.763629634042,140
0,1,4,7,8,static/inflex,1200,35,1292.9975763328478,200
0,1,4,8,7,static/inflex,1260,38,1343.479030497776,260
0,1,4,9,6,static/inflex,1140,32,1195.0174716927168,140
0,1,4,10,5,static/inflex,1340,42,1358.612517252568,340
0,1,4,11,4,balanced,1160,33,1149.69839933915,160
0,1,4,12,3,confident,1120,31,1153.3725444600511,120
0,1,4,13,2,confident,1140,32,1224.7522476906565,140
0,1,4,14,1,confident,1140,32,1194.1852439406694,140
0,1,4,15,0,confident,1220,36,1231.2627002280794,220
0,1,5,0,14,static/inflex,1120,31,1265.833763420347,120
0,1,5,1,13,static/inflex,1260,38,1281.154894268867,260
0,1,5,2,12,static/inflex,1180,34,1177.4968714482952,180
0,1,5,3,11,static/inflex,1240,37,1291.7857844207115,240
0,1,5,4,10,confident,1180,34,1226.4204615900355,180
0,1,5,5,9,static/inflex,1180,34,1184.6351308430521,180
0,1,5,6,8,static/inflex,1180,34,1205.5153469871314,180
0,1,5,7,7,confident,1220,36,1230.1122221566086,220
0,1,5,8,6,static/inflex,1180,34,1206.4925025696214,180
0,1,5,9,5,static/inflex,1140,32,1275.257369397764,140
0,1,5,10,4,static/inflex,1180,34,1236.5201199231235,180
0,1,5,11,3,balanced,1140,32,1199.8323408784374,140
0,1,5,12,2,balanced,1140,32,1155.7407221174594,140
0,1,5,13,1,confident,1180,34,1177.356283034648,180
0,1,5,14,0,confident,1140,32,1193.6620039332763,140
0,1,6,0,13,static/inflex,1140,32,1336.0370091422947,140
0,1,6,1,12,static/inflex,1240,37,1294.393259425445,240
0,1,6,2,11,confident,1180,34,1173.5865097249073,180
0,1,6,3,10,static/inflex,1200,35,1254.3131894716335,200
0,1,6,4,9,static/inflex,1180,34,1293.4842620394218,180
0,1,6,5,8,static/inflex,1080,29,1158.1222415215407,80
0,1,6,6,7,confident,1120,31,1180.9588301271172,120
0,1,6,7,6,static/inflex,1180,34,1239.7947781902656,180
0,1,6,8,5,static/inflex,1160,33,1173.424564365386,160
0,1,6,9,4,confident,1180,34,1214.6250197054183,180
0,1,6,10,3,confident,1160,33,1223.0084435731007,160
0,1,6,11,2,confident,1100,30,1111.0084452026638,100
0,1,6,12,1,confident,1080,29,1111.7186908729655,80
0,1,6,13,0,confident,1140,32,1268.4930580739826,140
0,1,7,0,12,static/inflex,1120,31,1125.8448789109693,120
0,1,7,1,11,static/inflex,1280,39,1273.7641082073521,280
0,1,7,2,10,balanced,1140,32,1148.3875849838985,140
0,1,7,3,9,balanced,1080,29,1092.5853154905399,80
0,1,7,4,8,static/inflex,1160,33,1225.248443772542,160
0,1,7,5,7,confident,1180,34,1174.5155540794774,180
0,1,7,6,6,confident,1160,33,1221.6150543959666,160
0,1,7,7,5,static/inflex,1200,35,1213.9307417252614,200
0,1,7,8,4,static/inflex,1180,34,1477.4796953460059,180
0,1,7,9,3,static/inflex,1160,33,1312.3697987309254,160
0,1,7,10,2,confident,1220,36,1247.643190719041,220
0,1,7,11,1,confident,1260,38,1257.6206682252182,260
0,1,7,12,0,confident,1080,29,1103.8258376954302,80
0,1,8,0,11,static/inflex,1080,29,1171.2524250619074,80
0,1,8,1,10,static/inflex,1180,34,1317.0539650746255,180
0,1,8,2,9,static/inflex,1160,33,1246.6786636950928,160
0,1,8,3,8,static/inflex,1140,32,1172.8555879464084,140
0,1,8,4,7,balanced,1100,30,1137.8817711350905,100
